onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.2326	119.0	EA_block	block_summary	n/a	n/a	0.876259652961	7.0	HR_1_sad
13.2326	0.0	n/a	default_rating	5	n/a	n/a	n/a	HR_1_sad
13.2326	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
15.2326	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
17.2326	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
19.2326	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
21.2326	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
23.2326	2.0	n/a	running_avg	4.09375	5.0	n/a	n/a	HR_1_sad
23.8065	0.0	n/a	button_press	4	n/a	n/a	n/a	HR_1_sad
24.8462	0.0	n/a	button_press	3	n/a	n/a	n/a	HR_1_sad
25.2326	2.0	n/a	running_avg	2.5399000000000003	3.5855	n/a	n/a	HR_1_sad
26.3124	0.0	n/a	button_press	2	n/a	n/a	n/a	HR_1_sad
27.2326	2.0	n/a	running_avg	2.0	3.0	n/a	n/a	HR_1_sad
29.2326	2.0	n/a	running_avg	2.0	3.0	n/a	n/a	HR_1_sad
31.2326	2.0	n/a	running_avg	2.0	3.0	n/a	n/a	HR_1_sad
33.2326	2.0	n/a	running_avg	2.0	3.0	n/a	n/a	HR_1_sad
35.2326	2.0	n/a	running_avg	2.0	3.0	n/a	n/a	HR_1_sad
37.2326	2.0	n/a	running_avg	2.0	2.6085	n/a	n/a	HR_1_sad
39.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
41.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
43.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
45.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
47.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
49.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
51.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
53.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
55.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
57.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
59.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
61.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
63.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
65.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
67.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
69.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
71.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
73.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
75.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
77.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
79.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
81.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
83.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
85.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
87.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
89.2326	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
