onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.1727	119.0	EA_block	block_summary	n/a	n/a	0.61520407137	12.0	HR_1_sad
13.1727	0.0	n/a	default_rating	5	n/a	n/a	n/a	HR_1_sad
13.1727	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
15.1727	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
17.1727	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
19.1727	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	HR_1_sad
21.1727	2.0	n/a	running_avg	4.18755	5.0	n/a	n/a	HR_1_sad
21.5478	0.0	n/a	button_press	4	n/a	n/a	n/a	HR_1_sad
23.1727	2.0	n/a	running_avg	3.1237	5.0	n/a	n/a	HR_1_sad
23.4201	0.0	n/a	button_press	3	n/a	n/a	n/a	HR_1_sad
25.1727	2.0	n/a	running_avg	3.0	3.5855	n/a	n/a	HR_1_sad
27.1727	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
29.1727	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
31.1727	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
33.1727	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
35.1727	2.0	n/a	running_avg	3.0	3.0	n/a	n/a	HR_1_sad
37.1727	2.0	n/a	running_avg	2.7131	2.6085	n/a	n/a	HR_1_sad
38.5989	0.0	n/a	button_press	2	n/a	n/a	n/a	HR_1_sad
39.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
41.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
43.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
45.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
47.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
49.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
51.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
53.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
55.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
57.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
59.1727	2.0	n/a	running_avg	2.0	2.0	n/a	n/a	HR_1_sad
61.1727	2.0	n/a	running_avg	2.89445	2.0	n/a	n/a	HR_1_sad
61.3838	0.0	n/a	button_press	3	n/a	n/a	n/a	HR_1_sad
63.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
65.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
67.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
69.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
71.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
73.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
75.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
77.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
79.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
81.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
83.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
85.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
87.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
89.1727	2.0	n/a	running_avg	3.0	2.0	n/a	n/a	HR_1_sad
91.1727	2.0	n/a	running_avg	3.2893499999999998	2.0	n/a	n/a	HR_1_sad
92.594	0.0	n/a	button_press	4	n/a	n/a	n/a	HR_1_sad
93.1727	2.0	n/a	running_avg	4.0	2.0	n/a	n/a	HR_1_sad
95.1727	2.0	n/a	running_avg	4.0	2.0	n/a	n/a	HR_1_sad
97.1727	2.0	n/a	running_avg	4.0	2.0	n/a	n/a	HR_1_sad
99.1727	2.0	n/a	running_avg	3.13075	2.0	n/a	n/a	HR_1_sad
99.1804	0.0	n/a	button_press	3	n/a	n/a	n/a	HR_1_sad
100.9189	0.0	n/a	button_press	4	n/a	n/a	n/a	HR_1_sad
101.1727	2.0	n/a	running_avg	4.0	2.0	n/a	n/a	HR_1_sad
103.1727	2.0	n/a	running_avg	4.0	2.0	n/a	n/a	HR_1_sad
105.1727	2.0	n/a	running_avg	4.0	2.0	n/a	n/a	HR_1_sad
107.1727	2.0	n/a	running_avg	4.0	2.0	n/a	n/a	HR_1_sad
109.1727	2.0	n/a	running_avg	3.9132000000000002	2.0	n/a	n/a	HR_1_sad
110.9991	0.0	n/a	button_press	3	n/a	n/a	n/a	HR_1_sad
111.1727	2.0	n/a	running_avg	1.9966000000000002	2.0	n/a	n/a	HR_1_sad
111.7347	0.0	n/a	button_press	2	n/a	n/a	n/a	HR_1_sad
112.6039	0.0	n/a	button_press	1	n/a	n/a	n/a	HR_1_sad
113.1727	2.0	n/a	running_avg	1.0	2.0	n/a	n/a	HR_1_sad
115.1727	2.0	n/a	running_avg	1.0	1.1125	n/a	n/a	HR_1_sad
117.1727	2.0	n/a	running_avg	1.9440499999999998	1.0	n/a	n/a	HR_1_sad
117.2846	0.0	n/a	button_press	2	n/a	n/a	n/a	HR_1_sad
119.1727	2.0	n/a	running_avg	2.0	1.0	n/a	n/a	HR_1_sad
121.1727	2.0	n/a	running_avg	2.0	1.0	n/a	n/a	HR_1_sad
123.1727	2.0	n/a	running_avg	2.18275	1.0	n/a	n/a	HR_1_sad
124.8072	0.0	n/a	button_press	3	n/a	n/a	n/a	HR_1_sad
125.1727	2.0	n/a	running_avg	3.0	1.0	n/a	n/a	HR_1_sad
