onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.39	170.0	EA_block	block_summary	n/a	n/a	0.621163690395	16.0	NW_6_delighted
13.39	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
13.39	0.0	n/a	default_rating	5	n/a	n/a	n/a	NW_6_delighted
15.39	2.0	n/a	running_avg	5.411899999999999	5.0	n/a	n/a	NW_6_delighted
16.5662	0.0	n/a	button_press	6	n/a	n/a	n/a	NW_6_delighted
17.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
19.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
21.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
23.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
25.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
27.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
29.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
31.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
33.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
35.39	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
37.39	2.0	n/a	running_avg	5.03605	5.0	n/a	n/a	NW_6_delighted
37.4621	0.0	n/a	button_press	5	n/a	n/a	n/a	NW_6_delighted
39.39	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
41.39	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
43.39	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
45.39	2.0	n/a	running_avg	5.149500000000001	5.0	n/a	n/a	NW_6_delighted
47.091	0.0	n/a	button_press	6	n/a	n/a	n/a	NW_6_delighted
47.39	2.0	n/a	running_avg	6.907100000000001	5.0	n/a	n/a	NW_6_delighted
47.5758	0.0	n/a	button_press	7	n/a	n/a	n/a	NW_6_delighted
49.39	2.0	n/a	running_avg	7.0	5.0	n/a	n/a	NW_6_delighted
51.39	2.0	n/a	running_avg	7.0	5.0	n/a	n/a	NW_6_delighted
53.39	2.0	n/a	running_avg	7.0	5.0	n/a	n/a	NW_6_delighted
55.39	2.0	n/a	running_avg	7.0	5.0	n/a	n/a	NW_6_delighted
57.39	2.0	n/a	running_avg	7.0	5.0	n/a	n/a	NW_6_delighted
59.39	2.0	n/a	running_avg	6.888249999999999	5.0	n/a	n/a	NW_6_delighted
61.1665	0.0	n/a	button_press	6	n/a	n/a	n/a	NW_6_delighted
61.39	2.0	n/a	running_avg	6.51005	5.0	n/a	n/a	NW_6_delighted
62.671	0.0	n/a	button_press	7	n/a	n/a	n/a	NW_6_delighted
63.0889	0.0	n/a	button_press	8	n/a	n/a	n/a	NW_6_delighted
63.39	2.0	n/a	running_avg	8.0	5.0	n/a	n/a	NW_6_delighted
65.39	2.0	n/a	running_avg	8.0	5.0	n/a	n/a	NW_6_delighted
67.39	2.0	n/a	running_avg	8.0	4.0	n/a	n/a	NW_6_delighted
69.39	2.0	n/a	running_avg	7.66085	4.0	n/a	n/a	NW_6_delighted
70.7117	0.0	n/a	button_press	7	n/a	n/a	n/a	NW_6_delighted
71.39	2.0	n/a	running_avg	7.678799999999999	4.0	n/a	n/a	NW_6_delighted
72.0324	0.0	n/a	button_press	8	n/a	n/a	n/a	NW_6_delighted
73.39	2.0	n/a	running_avg	7.926	4.0	n/a	n/a	NW_6_delighted
75.242	0.0	n/a	button_press	7	n/a	n/a	n/a	NW_6_delighted
75.39	2.0	n/a	running_avg	7.0	4.0	n/a	n/a	NW_6_delighted
77.39	2.0	n/a	running_avg	7.0	4.0	n/a	n/a	NW_6_delighted
79.39	2.0	n/a	running_avg	7.0	4.0	n/a	n/a	NW_6_delighted
81.39	2.0	n/a	running_avg	7.4214	4.0	n/a	n/a	NW_6_delighted
82.5472	0.0	n/a	button_press	8	n/a	n/a	n/a	NW_6_delighted
83.39	2.0	n/a	running_avg	8.4769	4.8995	n/a	n/a	NW_6_delighted
84.4362	0.0	n/a	button_press	9	n/a	n/a	n/a	NW_6_delighted
85.39	2.0	n/a	running_avg	9.0	5.0	n/a	n/a	NW_6_delighted
87.39	2.0	n/a	running_avg	9.0	5.0	n/a	n/a	NW_6_delighted
89.39	2.0	n/a	running_avg	9.0	5.615	n/a	n/a	NW_6_delighted
91.39	2.0	n/a	running_avg	9.0	6.0	n/a	n/a	NW_6_delighted
93.39	2.0	n/a	running_avg	9.0	6.0	n/a	n/a	NW_6_delighted
95.39	2.0	n/a	running_avg	9.0	6.0	n/a	n/a	NW_6_delighted
97.39	2.0	n/a	running_avg	9.0	6.0	n/a	n/a	NW_6_delighted
99.39	2.0	n/a	running_avg	9.0	6.0	n/a	n/a	NW_6_delighted
101.39	2.0	n/a	running_avg	9.0	6.1205	n/a	n/a	NW_6_delighted
103.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
105.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
107.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
109.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
111.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
113.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
115.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
117.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
119.39	2.0	n/a	running_avg	9.0	7.0	n/a	n/a	NW_6_delighted
121.39	2.0	n/a	running_avg	9.0	7.085	n/a	n/a	NW_6_delighted
123.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
125.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
127.39	2.0	n/a	running_avg	8.7731	8.0	n/a	n/a	NW_6_delighted
128.9362	0.0	n/a	button_press	8	n/a	n/a	n/a	NW_6_delighted
129.39	2.0	n/a	running_avg	8.0	8.0	n/a	n/a	NW_6_delighted
131.39	2.0	n/a	running_avg	8.0	8.0	n/a	n/a	NW_6_delighted
133.39	2.0	n/a	running_avg	8.0	8.0	n/a	n/a	NW_6_delighted
135.39	2.0	n/a	running_avg	8.0	8.0	n/a	n/a	NW_6_delighted
137.39	2.0	n/a	running_avg	8.0	8.0	n/a	n/a	NW_6_delighted
139.39	2.0	n/a	running_avg	8.0	8.0	n/a	n/a	NW_6_delighted
141.39	2.0	n/a	running_avg	8.41485	8.0	n/a	n/a	NW_6_delighted
142.5603	0.0	n/a	button_press	9	n/a	n/a	n/a	NW_6_delighted
143.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
145.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
147.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
149.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
151.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
153.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
155.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
157.39	2.0	n/a	running_avg	9.0	8.0	n/a	n/a	NW_6_delighted
