onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.2234	170.0	EA_block	block_summary	n/a	n/a	0.728936106278	18.0	NW_6_delighted
13.2234	0.0	n/a	default_rating	5	n/a	n/a	n/a	NW_6_delighted
13.2234	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
15.2234	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
17.2234	2.0	n/a	running_avg	4.4135	5.0	n/a	n/a	NW_6_delighted
17.7954	0.0	n/a	button_press	4	n/a	n/a	n/a	NW_6_delighted
18.9684	0.0	n/a	button_press	5	n/a	n/a	n/a	NW_6_delighted
19.2234	2.0	n/a	running_avg	4.8389	5.0	n/a	n/a	NW_6_delighted
20.9012	0.0	n/a	button_press	4	n/a	n/a	n/a	NW_6_delighted
21.2234	2.0	n/a	running_avg	4.0	5.0	n/a	n/a	NW_6_delighted
23.2234	2.0	n/a	running_avg	4.0	5.0	n/a	n/a	NW_6_delighted
25.2234	2.0	n/a	running_avg	4.35525	5.0	n/a	n/a	NW_6_delighted
26.5129	0.0	n/a	button_press	5	n/a	n/a	n/a	NW_6_delighted
27.2234	2.0	n/a	running_avg	5.04225	5.0	n/a	n/a	NW_6_delighted
29.1389	0.0	n/a	button_press	6	n/a	n/a	n/a	NW_6_delighted
29.2234	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
31.2234	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
33.2234	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
35.2234	2.0	n/a	running_avg	5.86325	5.0	n/a	n/a	NW_6_delighted
36.9499	0.0	n/a	button_press	5	n/a	n/a	n/a	NW_6_delighted
37.2234	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
39.2234	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
