onset	duration	trial_type	event_type	participant_value	gold_std	block_score	n_button_press	stim_file
13.1911	170.0	EA_block	block_summary	n/a	n/a	0.939905231062	5.0	NW_6_delighted
13.1911	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
13.1911	0.0	n/a	default_rating	5	n/a	n/a	n/a	NW_6_delighted
15.1911	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
17.1911	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
19.1911	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
21.1911	2.0	n/a	running_avg	5.0	5.0	n/a	n/a	NW_6_delighted
23.1911	2.0	n/a	running_avg	5.490200000000001	5.0	n/a	n/a	NW_6_delighted
24.2107	0.0	n/a	button_press	6	n/a	n/a	n/a	NW_6_delighted
25.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
27.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
29.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
31.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
33.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
35.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
37.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
39.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
41.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
43.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
45.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
47.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
49.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
51.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
53.1911	2.0	n/a	running_avg	6.0	5.0	n/a	n/a	NW_6_delighted
